iter,HH_type,rate.vs.overall,rate.vs.non,rate.vs.mob
30,Within,0.522526304762925,0.690481188436723,0.683016526940109
30,Between,-0.0794120425943295,-0.0890964380326624,0.027116307227332
31,Within,0.725113783812037,0.826629713545723,0.899141091926926
31,Between,0.399049323783153,0.417872405093679,0.719041706062096
32,Within,0.888294718096973,0.86963306435544,0.67181953469519
32,Between,0.29459415181859,0.203670030886926,0.327326835353989
33,Within,0.638100129754593,0.855634264898204,0.884638816250686
33,Between,0.304090016763652,0.398997092059314,0.672097043420301
34,Within,0.735269157416402,0.776324795647775,0.817380433879147
34,Between,0.00363696483726654,0.0981980506061966,0.087287156094397
35,Within,0.76862061084076,0.783122886517,0.616346716240232
35,Between,0.16922282244533,-0.0282038037408883,0.330387415250406
36,Within,0.709617722617583,0.772001698232315,0.810991682991523
36,Between,0.0995910003310478,0.202870556229912,0.32459288996786
37,Within,0.710611508135797,0.783122886517,0.790374024355121
37,Between,0.319585049464985,0.323458807640318,0.488093530091976
38,Within,0.772592464899468,0.746466149661322,0.772592464899468
38,Between,0.192759136375127,0.247313608934125,0.316415940842189
39,Within,0.797625162193241,0.841131989221963,0.884638816250686
39,Between,-0.429161850797452,-0.356422554052121,-0.276409327632257
40,Within,0.928145643279408,0.877387678412565,0.891889954088806
40,Between,0.277488738510232,0.227036240599281,0.475694980303255
41,Within,0.324712775102675,0.470273674286633,0.645693219457043
41,Between,0.0218217890235992,-0.0181848241863327,0.0981980506061966
42,Within,0.725113783812037,0.761369473002639,0.884638816250686
42,Between,0.350109312375785,0.331286231065259,0.523281660432625
43,Within,0.696109232459556,0.688858094621435,0.848383127060084
43,Between,0.276409327632257,0.349148624377588,0.432798815634718
44,Within,0.709142842178256,0.701678180681642,0.787521787892694
44,Between,-0.0663940002206986,-0.177050667255196,0.201026278446004
45,Within,0.584849771388118,0.779799695184157,0.888971652509939
45,Between,0.00922138891954147,0.119878055954039,0.516397779494322
46,Within,0.768860134151161,0.746466149661322,0.8472390798656
46,Between,0.293640068444207,0.289875452182101,0.425401637617889
47,Within,0.574778935239218,0.541187958504458,0.515061643266312
47,Between,-0.047280542884465,-0.0327326835353989,0.0691023319080643
48,Within,0.470273674286633,0.634496227212124,0.776324795647775
48,Between,-0.0604367223019035,-0.0241746889207614,0.0966987556830456
49,Within,0.819378575707602,0.855634264898204,0.804876300031361
49,Between,0.154919333848297,-0.00737711113563317,0.346724223374759
50,Within,0.764203701280474,0.826587676895206,0.865577661654414
50,Between,0.052704627669473,0.255993905823155,0.278581603395786
51,Within,0.686748857688416,0.821112764627454,0.776324795647775
51,Between,0.217624778501179,0.293240167641419,0.414962501379366
52,Within,0.812127437869482,0.674355818945195,0.848383127060084
52,Between,0.265576000882794,0.189960611742554,0.149386500496572
53,Within,0.593440588980751,0.720339834423176,0.850971410613907
53,Between,0.145478593490662,0.112745909955263,0.421887921122919
54,Within,0.733011713473107,0.79539568908784,0.655031743954692
