cluster,mobile,non-mobile,not known,Gene,Human,Poultry,Dog,Stored water,Household soil,Human.pct,Poultry.pct,Dog.pct,Stored water.pct,Household soil.pct,V2,total
Cluster 16999,1,0,0,,0,1,0,0,0,0,0.900900900900901,0,0,0,mdtM,1
Cluster 17,0,7,5,,6,0,1,0,0,4.54545454545455,0,5.88235294117647,0,0,evgS,12
Cluster 170,0,1,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,evgS,2
Cluster 1700,0,1,0,,0,1,0,0,0,0,0.900900900900901,0,0,0,AcrF,1
Cluster 17000,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,emrB,1
Cluster 17001,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,mdtC,1
Cluster 17002,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,mdtO,1
Cluster 17003,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,APH(6)-Id,1
Cluster 17004,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,acrD,1
Cluster 17005,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,Ecol_mdfA,1
Cluster 17006,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,mdtF,1
Cluster 17007,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,emrB,1
Cluster 17008,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,mdtC,1
Cluster 17009,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,mdtO,1
Cluster 1701,1,0,0,,0,1,0,0,0,0,0.900900900900901,0,0,0,AcrF,1
Cluster 17010,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,mdtC,1
Cluster 17011,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,acrD,1
Cluster 17012,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,baeR,1
Cluster 17013,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,mdtO,1
Cluster 17014,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,mdtO,1
Cluster 17015,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,msbA,1
Cluster 17016,0,0,1,,0,0,0,0,1,0,0,0,0,2.63157894736842,acrD,1
Cluster 17017,1,0,0,,0,0,0,0,1,0,0,0,0,2.63157894736842,bacA,1
Cluster 17018,0,0,1,,0,0,0,0,1,0,0,0,0,2.63157894736842,evgS,1
Cluster 17019,0,0,1,,0,0,0,1,0,0,0,0,5.26315789473684,0,mdtC,1
Cluster 1702,1,0,0,,0,1,0,0,0,0,0.900900900900901,0,0,0,AcrF,1
Cluster 17020,0,0,1,,0,0,0,1,0,0,0,0,5.26315789473684,0,bacA,1
Cluster 17021,0,0,1,,0,0,0,1,0,0,0,0,5.26315789473684,0,Abau_AmvA,1
Cluster 17022,0,1,0,,1,0,0,0,0,0.757575757575758,0,0,0,0,evgS,1
Cluster 17023,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,mdtC,1
Cluster 17024,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,Ecol_ampC_BLA,1
Cluster 17025,1,0,0,,1,0,0,0,0,0.757575757575758,0,0,0,0,bacA,1
Cluster 17026,0,0,2,,1,0,0,0,1,0.757575757575758,0,0,0,2.63157894736842,Ecol_acrA,2
Cluster 17027,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,mdtP,1
Cluster 17028,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,evgS,1
Cluster 17029,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,Ecol_mdfA,1
Cluster 1703,1,0,0,,0,1,0,0,0,0,0.900900900900901,0,0,0,AcrF,1
Cluster 17030,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,mdtO,1
Cluster 17031,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,TolC,1
