1	Esch_coli_ST648.fa.gz	49723	23343	74472	0.941	23.527	21.919	0.334	0.941	0.725	5.645	3.233	0.202	0.279
2	Esch_fergusonii_EF20JDJ4045.fa.gz	45063	32559	52497	0.738	9.466	6.966	0.221	0.739	0.8	4.837	1.423	0.071	0.089
3	Esch_coli_AR_0114.fa.gz	46809	5480	28455	0.68	29.11	19.417	0.135	0.68	1.198	7.364	0.678	0.035	0.042
sample	totalkmers	distinct	pkmers	pkcov	pan%									
A1068_straingst	1804217759	66773469	65925	247.146	90.306									
i	strain	gkmers	ikmers	skmers	cov	kcov	gcov	acct	even	spec	rapct	old_rapct	wscore	score
0	Esch_coli_Quinolone_resistant_GCF_904711295.1.fa.gz	44803	44763	65925	0.936	304.994	281.511	0.784	0.936	0.938	33.109	70.825	0.603	0.643
1	Esch_coli_H3.fa.gz	47946	6558	24028	0.454	325.491	140	0.276	0.454	0.771	57.197	5.374	0.02	0.026
sample	totalkmers	distinct	pkmers	pkcov	pan%									
A1069_straingst	1736730352	79781434	71648	170.984	70.539									
i	strain	gkmers	ikmers	skmers	cov	kcov	gcov	acct	even	spec	rapct	old_rapct	wscore	score
0	Esch_coli_MS14386.fa.gz	47646	47596	71648	0.955	227.877	215.577	0.846	0.955	0.758	46.103	59.655	0.559	0.737
1	Esch_coli_103605.fa.gz	48773	11148	26183	0.685	93.411	55.176	0.377	0.685	0.85	24.436	4.106	0.103	0.121
sample	totalkmers	distinct	pkmers	pkcov	pan%									
A1071_straingst	1803158105	65771150	76003	211.743	89.249									
i	strain	gkmers	ikmers	skmers	cov	kcov	gcov	acct	even	spec	rapct	old_rapct	wscore	score
0	Esch_coli_BE2-5.fa.gz	45963	45885	76003	0.963	320.755	305.867	0.88	0.963	0.854	70.599	78.572	0.67	0.785
1	Shig_flexneri_SWHIN_104.fa.gz	47104	13502	31833	0.728	79.974	57.091	0.408	0.728	0.829	18.651	4.358	0.13	0.157
sample	totalkmers	distinct	pkmers	pkcov	pan%									
A1075_straingst	2013109815	71018817	72176	236.058	84.634									
i	strain	gkmers	ikmers	skmers	cov	kcov	gcov	acct	even	spec	rapct	old_rapct	wscore	score
0	Esch_coli_str_TO6.fa.gz	47167	47089	72176	0.934	333.931	306.551	0.862	0.934	0.892	60.896	72.933	0.626	0.702
1	Esch_coli_VR50.fa.gz	48478	6985	28208	0.552	182.93	95.44	0.299	0.552	0.852	23.738	3.502	0.043	0.05
sample	totalkmers	distinct	pkmers	pkcov	pan%									
